 TimeStamp manip.manip_measure_out_port tt.outport_grip.position.x tt.outport_grip.position.y tt.outport_grip.position.z tt.outport_grip.orientation.x tt.outport_grip.orientation.y tt.outport_grip.orientation.z tt.outport_grip.orientation.w jr3.ForceTorqueOutputPort.forces.0 jr3.ForceTorqueOutputPort.forces.1 jr3.ForceTorqueOutputPort.forces.2 jr3.ForceTorqueOutputPort.torques.0 jr3.ForceTorqueOutputPort.torques.1 jr3.ForceTorqueOutputPort.torques.2 test.cart_pose_loop_out_port.p.X test.cart_pose_loop_out_port.p.Y test.cart_pose_loop_out_port.p.Z test.cart_pose_loop_out_port.M.X_x test.cart_pose_loop_out_port.M.X_y test.cart_pose_loop_out_port.M.X_z test.cart_pose_loop_out_port.M.Y_x test.cart_pose_loop_out_port.M.Y_y test.cart_pose_loop_out_port.M.Y_z test.cart_pose_loop_out_port.M.Z_x test.cart_pose_loop_out_port.M.Z_y test.cart_pose_loop_out_port.M.Z_z stiff.cart_stiffdamp_out_port.stiffness.0 stiff.cart_stiffdamp_out_port.stiffness.1 stiff.cart_stiffdamp_out_port.stiffness.2 stiff.cart_stiffdamp_out_port.stiffness.3 stiff.cart_stiffdamp_out_port.stiffness.4 stiff.cart_stiffdamp_out_port.stiffness.5 stiff.cart_stiffdamp_out_port.damping.0 stiff.cart_stiffdamp_out_port.damping.1 stiff.cart_stiffdamp_out_port.damping.2 stiff.cart_stiffdamp_out_port.damping.3 stiff.cart_stiffdamp_out_port.damping.4 stiff.cart_stiffdamp_out_port.damping.5
 5.96e-07 0.0306823   -0.256228 -0.233398 0.184942  -0.177553 0.591105 -0.714661 0.329136   -0.0756836 -1.0166 0.563965  -0.889893 0.748901 -0.430664   -0.572428 -0.163202 0.646995  0.684094 0.581532 -0.440269 0.500856 -0.813325 -0.296051 -0.530244 -0.0179848 -0.847654   2272.05 2272.05 2272.05 136.323 136.323 136.323  0 0 0 0 0 0 
 0.0178566 0.0306823   -0.256228 -0.233398 0.184942  -0.177553 0.591105 -0.714661 0.329136   0.0567627 -0.825989 0  -0.543823 0.399414 -0.348633   -0.572451 -0.163169 0.646969  0.684166 0.581562 -0.440118 0.500763 -0.81331 -0.29625 -0.53024 -0.0177104 -0.847663   2272.05 2272.05 2272.05 136.323 136.323 136.323  0 0 0 0 0 0 
 0.0278352 0.0306823   -0.256228 -0.233398 0.184942  -0.177553 0.591105 -0.714661 0.329136   0.20813 -0.825989 0.704956  -0.568542 0.199707 -0.348633   -0.572458 -0.163156 0.646963  0.68419 0.58156 -0.440082 0.500728 -0.813312 -0.296301 -0.53024 -0.0176354 -0.847664   2272.05 2272.05 2272.05 136.323 136.323 136.323  0 0 0 0 0 0 
 0.0378383 0.0306823   -0.256228 -0.233398 0.184942  -0.177553 0.591105 -0.714661 0.329136   0.20813 -0.741272 0.328979  -0.568542 0.199707 -0.430664   -0.572462 -0.163143 0.646963  0.684206 0.581548 -0.440073 0.500698 -0.813322 -0.296326 -0.530249 -0.0175954 -0.847659   2272.05 2272.05 2272.05 136.323 136.323 136.323  0 0 0 0 0 0 
 0.0478684 0.0306823   -0.256228 -0.233398 0.184942  -0.177553 0.591105 -0.714661 0.329136   0.20813 -0.741272 -0.234985  -0.543823 0.399414 -0.430664   -0.572462 -0.163136 0.646967  0.684213 0.581538 -0.440074 0.50068 -0.813329 -0.296337 -0.530256 -0.0175789 -0.847655   2272.05 2272.05 2272.05 136.323 136.323 136.323  0 0 0 0 0 0 
 0.0578629 0.0306823   -0.256228 -0.233398 0.184942  -0.177553 0.591105 -0.714661 0.329136   0.132446 -0.825989 -0.187988  -0.543823 0.399414 -0.348633   -0.572462 -0.163131 0.646971  0.684215 0.581532 -0.44008 0.500668 -0.813334 -0.296344 -0.530266 -0.0175712 -0.847649   2272.05 2272.05 2272.05 136.323 136.323 136.323  0 0 0 0 0 0 
 0.0678334 0.0306823   -0.256228 -0.233398 0.184942  -0.177553 0.591105 -0.714661 0.329136   0.20813 -0.741272 0.140991  -0.568542 0.199707 -0.348633   -0.572462 -0.163124 0.646978  0.684217 0.581524 -0.440087 0.500653 -0.813339 -0.296354 -0.530278 -0.0175607 -0.847642   2272.05 2272.05 2272.05 136.323 136.323 136.323  0 0 0 0 0 0 
 0.0778296 0.0306823   -0.256228 -0.233398 0.184942  -0.177553 0.591105 -0.714661 0.329136   0.264893 -0.571838 -0.0469971  -0.593262 0.0998535 -0.266602   -0.572461 -0.163114 0.646988  0.684218 0.581514 -0.440099 0.50063 -0.813347 -0.29637 -0.530297 -0.017545 -0.84763   2272.05 2272.05 2272.05 136.323 136.323 136.323  0 0 0 0 0 0 
 0.08783 0.0306823   -0.256228 -0.233398 0.184942  -0.177553 0.591105 -0.714661 0.329136   0.41626 -0.635376 -0.234985  -0.395508 0 -0.18457   -0.572462 -0.163102 0.647001  0.684222 0.5815 -0.440111 0.500599 -0.813358 -0.296394 -0.530321 -0.0175198 -0.847616   2272.05 2272.05 2272.05 136.323 136.323 136.323  0 0 0 0 0 0 
 0.0978509 0.0305525   -0.256813 -0.230688 0.185458  -0.174373 0.592925 -0.715881 0.324882   0.510864 -0.465942 -0.79895  -0.222473 -0.124817 -0.102539   -0.572463 -0.163086 0.647016  0.684226 0.581483 -0.440127 0.50056 -0.81337 -0.296427 -0.530353 -0.0174872 -0.847596   2277.66 2277.66 2277.66 136.66 136.66 136.66  0 0 0 0 0 0 
 0.107984 0.0305525   -0.256813 -0.230688 0.185458  -0.174373 0.592925 -0.715881 0.324882   0.567627 -0.381226 -1.22192  -0.148315 -0.22467 -0.102539   -0.572463 -0.163077 0.647026  0.684227 0.581474 -0.440138 0.500535 -0.813377 -0.296448 -0.530375 -0.0174666 -0.847583   2277.66 2277.66 2277.66 136.66 136.66 136.66  0 0 0 0 0 0 
