 TimeStamp manip.manip_measure_out_port tt.outport_grip.position.x tt.outport_grip.position.y tt.outport_grip.position.z tt.outport_grip.orientation.x tt.outport_grip.orientation.y tt.outport_grip.orientation.z tt.outport_grip.orientation.w jr3.ForceTorqueOutputPort.forces.0 jr3.ForceTorqueOutputPort.forces.1 jr3.ForceTorqueOutputPort.forces.2 jr3.ForceTorqueOutputPort.torques.0 jr3.ForceTorqueOutputPort.torques.1 jr3.ForceTorqueOutputPort.torques.2 test.cart_pose_loop_out_port.p.X test.cart_pose_loop_out_port.p.Y test.cart_pose_loop_out_port.p.Z test.cart_pose_loop_out_port.M.X_x test.cart_pose_loop_out_port.M.X_y test.cart_pose_loop_out_port.M.X_z test.cart_pose_loop_out_port.M.Y_x test.cart_pose_loop_out_port.M.Y_y test.cart_pose_loop_out_port.M.Y_z test.cart_pose_loop_out_port.M.Z_x test.cart_pose_loop_out_port.M.Z_y test.cart_pose_loop_out_port.M.Z_z stiff.cart_stiffdamp_out_port.stiffness.0 stiff.cart_stiffdamp_out_port.stiffness.1 stiff.cart_stiffdamp_out_port.stiffness.2 stiff.cart_stiffdamp_out_port.stiffness.3 stiff.cart_stiffdamp_out_port.stiffness.4 stiff.cart_stiffdamp_out_port.stiffness.5 stiff.cart_stiffdamp_out_port.damping.0 stiff.cart_stiffdamp_out_port.damping.1 stiff.cart_stiffdamp_out_port.damping.2 stiff.cart_stiffdamp_out_port.damping.3 stiff.cart_stiffdamp_out_port.damping.4 stiff.cart_stiffdamp_out_port.damping.5
 6.8e-07 0.0162977   -0.238462 0.112952 -0.257165  0.901616 -0.368992 -0.132003 0.183056   -0.548706 -1.1225 -0.422974  -0.469666 0.698975 -0.18457   -0.520635 -0.0444144 0.692019  0.750521 0.50204 -0.429738 0.419829 -0.864417 -0.276636 -0.510355 0.0272044 -0.859533   1947.74 1947.74 1947.74 116.865 116.865 116.865  0 0 0 0 0 0 
 0.0104857 0.0162977   -0.238462 0.112952 -0.257165  0.901616 -0.368992 -0.132003 0.183056   -0.548706 -1.1225 -0.422974  -0.420227 0.898682 -0.102539   -0.520635 -0.0444144 0.692019  0.750521 0.50204 -0.429738 0.419829 -0.864417 -0.276636 -0.510355 0.0272044 -0.859533   1947.74 1947.74 1947.74 116.865 116.865 116.865  0 0 0 0 0 0 
 0.0205113 0.0162977   -0.238462 0.112952 -0.257165  0.901616 -0.368992 -0.132003 0.183056   -0.548706 -1.29193 -0.422974  -0.543823 0.823792 -0.0205078   -0.520626 -0.0444065 0.692034  0.750509 0.502032 -0.429767 0.419822 -0.864422 -0.276631 -0.510378 0.0271882 -0.85952   1947.74 1947.74 1947.74 116.865 116.865 116.865  0 0 0 0 0 0 
 0.0304827 0.0162977   -0.238462 0.112952 -0.257165  0.901616 -0.368992 -0.132003 0.183056   -0.643311 -1.03778 -0.234985  -0.444946 0.798828 -0.0205078   -0.520621 -0.0444014 0.692042  0.750504 0.502026 -0.429783 0.419817 -0.864425 -0.276627 -0.510389 0.0271788 -0.859514   1947.74 1947.74 1947.74 116.865 116.865 116.865  0 0 0 0 0 0 
 0.0404898 0.0162977   -0.238462 0.112952 -0.257165  0.901616 -0.368992 -0.132003 0.183056   -0.491943 -1.1225 -0.422974  -0.444946 0.798828 -0.102539   -0.520614 -0.0443963 0.692053  0.750494 0.502021 -0.429807 0.419813 -0.864429 -0.276622 -0.510407 0.0271645 -0.859504   1947.74 1947.74 1947.74 116.865 116.865 116.865  0 0 0 0 0 0 
 0.0504543 0.0162977   -0.238462 0.112952 -0.257165  0.901616 -0.368992 -0.132003 0.183056   -0.264893 -1.0166 -0.0469971  -0.395508 0.499268 -0.102539   -0.520611 -0.0443933 0.692058  0.75049 0.502017 -0.429817 0.419809 -0.864431 -0.276622 -0.510417 0.027161 -0.859498   1947.74 1947.74 1947.74 116.865 116.865 116.865  0 0 0 0 0 0 
 0.0604707 0.0162977   -0.238462 0.112952 -0.257165  0.901616 -0.368992 -0.132003 0.183056   -0.340576 -1.03778 -0.422974  -0.370789 0.698975 -0.0205078   -0.520609 -0.0443913 0.692066  0.750484 0.502016 -0.42983 0.419805 -0.864432 -0.276626 -0.510429 0.0271585 -0.859491   1947.74 1947.74 1947.74 116.865 116.865 116.865  0 0 0 0 0 0 
 0.0705176 0.0162977   -0.238462 0.112952 -0.257165  0.901616 -0.368992 -0.132003 0.183056   -0.491943 -1.03778 -0.986938  -0.370789 0.698975 -0.102539   -0.520608 -0.044389 0.692072  0.750479 0.502014 -0.429841 0.419799 -0.864433 -0.276631 -0.510441 0.0271591 -0.859484   1947.74 1947.74 1947.74 116.865 116.865 116.865  0 0 0 0 0 0 
 0.0804903 0.0162977   -0.238462 0.112952 -0.257165  0.901616 -0.368992 -0.132003 0.183056   -0.548706 -1.03778 -0.563965  -0.519104 0.923645 -0.0205078   -0.520607 -0.0443885 0.692076  0.750475 0.502015 -0.429847 0.419796 -0.864432 -0.276636 -0.510449 0.0271605 -0.859479   1947.74 1947.74 1947.74 116.865 116.865 116.865  0 0 0 0 0 0 
 0.0905024 0.0208401   -0.186144 -0.0962508 0.293361  -0.156829 -0.0398702 0.367012 0.916033   -0.700073 -1.05896 -0.563965  -0.420227 0.998535 0.0410156   -0.520607 -0.0443892 0.69208  0.75047 0.502017 -0.429854 0.419796 -0.864431 -0.276641 -0.510457 0.0271597 -0.859474   1761.54 1761.54 1761.54 105.692 105.692 105.692  0 0 0 0 0 0 
