 TimeStamp manip.manip_measure_out_port tt.outport_grip.position.x tt.outport_grip.position.y tt.outport_grip.position.z tt.outport_grip.orientation.x tt.outport_grip.orientation.y tt.outport_grip.orientation.z tt.outport_grip.orientation.w jr3.ForceTorqueOutputPort.forces.0 jr3.ForceTorqueOutputPort.forces.1 jr3.ForceTorqueOutputPort.forces.2 jr3.ForceTorqueOutputPort.torques.0 jr3.ForceTorqueOutputPort.torques.1 jr3.ForceTorqueOutputPort.torques.2 test.cart_pose_loop_out_port.p.X test.cart_pose_loop_out_port.p.Y test.cart_pose_loop_out_port.p.Z test.cart_pose_loop_out_port.M.X_x test.cart_pose_loop_out_port.M.X_y test.cart_pose_loop_out_port.M.X_z test.cart_pose_loop_out_port.M.Y_x test.cart_pose_loop_out_port.M.Y_y test.cart_pose_loop_out_port.M.Y_z test.cart_pose_loop_out_port.M.Z_x test.cart_pose_loop_out_port.M.Z_y test.cart_pose_loop_out_port.M.Z_z stiff.cart_stiffdamp_out_port.stiffness.0 stiff.cart_stiffdamp_out_port.stiffness.1 stiff.cart_stiffdamp_out_port.stiffness.2 stiff.cart_stiffdamp_out_port.stiffness.3 stiff.cart_stiffdamp_out_port.stiffness.4 stiff.cart_stiffdamp_out_port.stiffness.5 stiff.cart_stiffdamp_out_port.damping.0 stiff.cart_stiffdamp_out_port.damping.1 stiff.cart_stiffdamp_out_port.damping.2 stiff.cart_stiffdamp_out_port.damping.3 stiff.cart_stiffdamp_out_port.damping.4 stiff.cart_stiffdamp_out_port.damping.5
 5.06e-07 0.0326863   -0.342522 0.0192805 -0.270965  0.0937753 0.415899 -0.871809 -0.241212   -0.662231 -1.65198 -1.45691  -1.21124 1.17328 -0.533203   -0.498172 0.0294701 0.689245  0.869844 0.167638 -0.463972 0.0396343 -0.961201 -0.272987 -0.491733 0.219067 -0.842739   2743.74 2743.74 2743.74 164.624 164.624 164.624  0 0 0 0 0 0 
 0.0194556 0.0326863   -0.342522 0.0192805 -0.270965  0.0937753 0.415899 -0.871809 -0.241212   -0.586548 -1.73669 -1.26892  -1.38428 1.2981 -0.451172   -0.498172 0.0294706 0.689245  0.869844 0.167637 -0.463972 0.039633 -0.961201 -0.272988 -0.491733 0.219068 -0.842738   2743.74 2743.74 2743.74 164.624 164.624 164.624  0 0 0 0 0 0 
 0.0294255 0.0326863   -0.342522 0.0192805 -0.270965  0.0937753 0.415899 -0.871809 -0.241212   -0.662231 -1.82141 -1.08093  -1.26068 1.39795 -0.533203   -0.498172 0.0294706 0.689245  0.869844 0.167637 -0.463972 0.039633 -0.961201 -0.272988 -0.491733 0.219068 -0.842738   2743.74 2743.74 2743.74 164.624 164.624 164.624  0 0 0 0 0 0 
 0.0394512 0.0326863   -0.342522 0.0192805 -0.270965  0.0937753 0.415899 -0.871809 -0.241212   -0.662231 -1.65198 -1.26892  -1.2854 1.2981 -0.533203   -0.498172 0.0294706 0.689245  0.869844 0.167637 -0.463972 0.039633 -0.961201 -0.272988 -0.491733 0.219068 -0.842738   2743.74 2743.74 2743.74 164.624 164.624 164.624  0 0 0 0 0 0 
 0.0494525 0.0326863   -0.342522 0.0192805 -0.270965  0.0937753 0.415899 -0.871809 -0.241212   -0.586548 -1.56726 -1.45691  -1.11237 1.17328 -0.451172   -0.498172 0.0294706 0.689245  0.869844 0.167637 -0.463972 0.039633 -0.961201 -0.272988 -0.491733 0.219068 -0.842738   2743.74 2743.74 2743.74 164.624 164.624 164.624  0 0 0 0 0 0 
 0.0594344 0.0326863   -0.342522 0.0192805 -0.270965  0.0937753 0.415899 -0.871809 -0.241212   -0.529785 -1.56726 -0.939941  -1.11237 1.07343 -0.369141   -0.498172 0.0294706 0.689245  0.869844 0.167637 -0.463972 0.039633 -0.961201 -0.272988 -0.491733 0.219068 -0.842738   2743.74 2743.74 2743.74 164.624 164.624 164.624  0 0 0 0 0 0 
 0.0694325 0.0326863   -0.342522 0.0192805 -0.270965  0.0937753 0.415899 -0.871809 -0.241212   -0.454102 -1.65198 -1.26892  -1.18652 1.19824 -0.451172   -0.498172 0.0294706 0.689245  0.869844 0.167637 -0.463972 0.039633 -0.961201 -0.272988 -0.491733 0.219068 -0.842738   2743.74 2743.74 2743.74 164.624 164.624 164.624  0 0 0 0 0 0 
 0.0794285 0.032679   -0.342457 0.0195094 -0.27071  0.0939009 0.414821 -0.872089 -0.242005   -0.662231 -1.73669 -1.26892  -1.31012 1.2981 -0.533203   -0.498172 0.0294706 0.689245  0.869844 0.167637 -0.463972 0.039633 -0.961201 -0.272988 -0.491733 0.219068 -0.842738   2743.59 2743.59 2743.59 164.615 164.615 164.615  0 0 0 0 0 0 
 0.0894024 0.032679   -0.342457 0.0195094 -0.27071  0.0939009 0.414821 -0.872089 -0.242005   -0.718994 -1.82141 -1.45691  -1.45844 1.42291 -0.533203   -0.498171 0.0294711 0.689246  0.869843 0.167637 -0.463972 0.0396326 -0.961201 -0.272989 -0.491733 0.219069 -0.842738   2743.59 2743.59 2743.59 164.615 164.615 164.615  0 0 0 0 0 0 
 0.0994576 0.032679   -0.342457 0.0195094 -0.27071  0.0939009 0.414821 -0.872089 -0.242005   -0.737915 -1.73669 -1.08093  -1.45844 1.42291 -0.533203   -0.498171 0.0294711 0.689246  0.869843 0.167637 -0.463972 0.0396326 -0.961201 -0.272989 -0.491733 0.219069 -0.842738   2743.59 2743.59 2743.59 164.615 164.615 164.615  0 0 0 0 0 0 
 0.109443 0.032679   -0.342457 0.0195094 -0.27071  0.0939009 0.414821 -0.872089 -0.242005   -0.737915 -1.84259 -0.892944  -1.45844 1.52277 -0.451172   -0.498171 0.0294711 0.689246  0.869843 0.167637 -0.463972 0.0396326 -0.961201 -0.272989 -0.491733 0.219069 -0.842738   2743.59 2743.59 2743.59 164.615 164.615 164.615  0 0 0 0 0 0 
