 TimeStamp manip.manip_measure_out_port manip.force_transmission_out_port manip.q_hand_out_port.0 manip.q_hand_out_port.1 manip.q_hand_out_port.2 manip.q_hand_out_port.3 tt.outport_grip.position.x tt.outport_grip.position.y tt.outport_grip.position.z tt.outport_grip.orientation.x tt.outport_grip.orientation.y tt.outport_grip.orientation.z tt.outport_grip.orientation.w jr3.ForceTorqueOutputPort.forces.0 jr3.ForceTorqueOutputPort.forces.1 jr3.ForceTorqueOutputPort.forces.2 jr3.ForceTorqueOutputPort.torques.0 jr3.ForceTorqueOutputPort.torques.1 jr3.ForceTorqueOutputPort.torques.2 test.cart_pose_loop_out_port.p.X test.cart_pose_loop_out_port.p.Y test.cart_pose_loop_out_port.p.Z test.cart_pose_loop_out_port.M.X_x test.cart_pose_loop_out_port.M.X_y test.cart_pose_loop_out_port.M.X_z test.cart_pose_loop_out_port.M.Y_x test.cart_pose_loop_out_port.M.Y_y test.cart_pose_loop_out_port.M.Y_z test.cart_pose_loop_out_port.M.Z_x test.cart_pose_loop_out_port.M.Z_y test.cart_pose_loop_out_port.M.Z_z test.tcp_pose_out_port.p.X test.tcp_pose_out_port.p.Y test.tcp_pose_out_port.p.Z test.tcp_pose_out_port.M.X_x test.tcp_pose_out_port.M.X_y test.tcp_pose_out_port.M.X_z test.tcp_pose_out_port.M.Y_x test.tcp_pose_out_port.M.Y_y test.tcp_pose_out_port.M.Y_z test.tcp_pose_out_port.M.Z_x test.tcp_pose_out_port.M.Z_y test.tcp_pose_out_port.M.Z_z stiff.cart_stiffdamp_out_port.stiffness.0 stiff.cart_stiffdamp_out_port.stiffness.1 stiff.cart_stiffdamp_out_port.stiffness.2 stiff.cart_stiffdamp_out_port.stiffness.3 stiff.cart_stiffdamp_out_port.stiffness.4 stiff.cart_stiffdamp_out_port.stiffness.5 stiff.cart_stiffdamp_out_port.damping.0 stiff.cart_stiffdamp_out_port.damping.1 stiff.cart_stiffdamp_out_port.damping.2 stiff.cart_stiffdamp_out_port.damping.3 stiff.cart_stiffdamp_out_port.damping.4 stiff.cart_stiffdamp_out_port.damping.5 lwr.current_joint_values.angles.0 lwr.current_joint_values.angles.1 lwr.current_joint_values.angles.2 lwr.current_joint_values.angles.3 lwr.current_joint_values.angles.4 lwr.current_joint_values.angles.5 lwr.current_joint_values.angles.6
 3.57e-07 0.0180962 0.136267  7.69406 7.39453 -4.43887 10.8202   -0.186644 0.218761 -0.237427  0.0790621 0.721689 0.0476709 0.686033   0.359497 -0.487122 -0.657959  0.395508 0.998535 -0.0820312   -0.467068 -0.031176 0.463357  0.637151 0.378765 -0.67125 0.338835 -0.919895 -0.197445 -0.692264 -0.101641 -0.714451   -0.613863 -0.0527289 0.311857  0.637151 0.378765 -0.67125 0.338835 -0.919895 -0.197445 -0.692264 -0.101641 -0.714451   1046.74 1046.74 1046.74 62.8046 62.8046 62.8046  0 0 0 0 0 0   2.5795 -0.223345 0.703858 1.88765 -0.296281 -0.316738 -0.116208 
 0.0226896 0.0180962 0.136267  7.69406 7.39453 -4.43887 10.8202   -0.186644 0.218761 -0.237427  0.0790621 0.721689 0.0476709 0.686033   0.643311 -0.571838 -0.140991  0.939331 1.44788 -0.0820312   -0.46707 -0.03116 0.463357  0.637163 0.378743 -0.67125 0.338803 -0.919906 -0.197446 -0.692269 -0.101616 -0.714449   -0.613866 -0.0527077 0.311858  0.637163 0.378743 -0.67125 0.338803 -0.919906 -0.197446 -0.692269 -0.101616 -0.714449   1046.74 1046.74 1046.74 62.8046 62.8046 62.8046  0 0 0 0 0 0   2.5795 -0.223345 0.703858 1.88765 -0.296281 -0.316738 -0.116208 
 0.032694 0.0180962 0.136267  7.69406 7.39453 -4.43887 10.8202   -0.186644 0.218761 -0.237427  0.0790621 0.721689 0.0476709 0.686033   0.870361 -0.720093 0.0469971  0.939331 1.34802 -0.0820312   -0.467072 -0.0311511 0.463357  0.63717 0.378731 -0.671251 0.338785 -0.919913 -0.197446 -0.692271 -0.101603 -0.714449   -0.613868 -0.052696 0.311858  0.63717 0.378731 -0.671251 0.338785 -0.919913 -0.197446 -0.692271 -0.101603 -0.714449   1046.74 1046.74 1046.74 62.8046 62.8046 62.8046  0 0 0 0 0 0   2.5795 -0.223345 0.703858 1.88765 -0.296281 -0.316738 -0.116208 
 0.0427136 0.0180962 0.136267  7.69406 7.39453 -4.43887 10.8202   -0.186644 0.218761 -0.237427  0.0790621 0.721689 0.0476709 0.686033   0.567627 -0.656555 -0.140991  1.11237 1.62262 -0.0820312   -0.467074 -0.0311375 0.463358  0.637179 0.378712 -0.671252 0.338757 -0.919923 -0.197448 -0.692276 -0.101582 -0.714447   -0.613871 -0.0526779 0.31186  0.637179 0.378712 -0.671252 0.338757 -0.919923 -0.197448 -0.692276 -0.101582 -0.714447   1046.74 1046.74 1046.74 62.8046 62.8046 62.8046  0 0 0 0 0 0   2.5795 -0.223345 0.703858 1.88765 -0.296281 -0.316738 -0.116208 
 0.0526852 0.0180962 0.136267  7.69406 7.39453 -4.43887 10.8202   -0.186644 0.218761 -0.237427  0.0790621 0.721689 0.0476709 0.686033   0.491943 -0.508301 -0.704956  1.18652 2.22174 -0.0820312   -0.467075 -0.0311207 0.463357  0.637194 0.378691 -0.67125 0.338723 -0.919935 -0.19745 -0.692279 -0.101554 -0.714449   -0.613873 -0.0526553 0.311858  0.637194 0.378691 -0.67125 0.338723 -0.919935 -0.19745 -0.692279 -0.101554 -0.714449   1046.74 1046.74 1046.74 62.8046 62.8046 62.8046  0 0 0 0 0 0   2.5795 -0.223345 0.703858 1.88765 -0.296281 -0.316738 -0.116208 
 0.0626996 0.0180962 0.136267  7.69406 7.39453 -4.43887 10.8202   -0.186644 0.218761 -0.237427  0.0790621 0.721689 0.0476709 0.686033   0.340576 -0.508301 -0.281982  1.2854 2.32159 -0.0820312   -0.467076 -0.0311133 0.463357  0.637201 0.37868 -0.67125 0.338709 -0.91994 -0.197449 -0.692279 -0.101544 -0.714449   -0.613873 -0.0526458 0.311858  0.637201 0.37868 -0.67125 0.338709 -0.91994 -0.197449 -0.692279 -0.101544 -0.714449   1046.74 1046.74 1046.74 62.8046 62.8046 62.8046  0 0 0 0 0 0   2.5795 -0.223345 0.703858 1.88765 -0.296281 -0.316738 -0.116208 
 0.0726907 0.036212 0.211415  6.27893 5.588 -6.27013 10.8228   0.372739 0.00138774 0.0145235  0.455806 -0.0909799 0.580175 0.66885   0.397339 -0.508301 0.0469971  1.26068 2.12189 -0.0820312   -0.467076 -0.0311074 0.463356  0.637206 0.378672 -0.671249 0.338698 -0.919945 -0.197448 -0.69228 -0.101536 -0.71445   -0.613874 -0.0526381 0.311857  0.637206 0.378672 -0.671249 0.338698 -0.919945 -0.197448 -0.69228 -0.101536 -0.71445   2042.19 2042.19 2042.19 122.531 122.531 122.531  0 0 0 0 0 0   2.5795 -0.223345 0.703858 1.88765 -0.296281 -0.316738 -0.116208 
 0.0827022 0.036212 0.211415  6.27893 5.588 -6.27013 10.8228   0.372739 0.00138774 0.0145235  0.455806 -0.0909799 0.580175 0.66885   0.41626 -0.571838 0.0469971  1.08765 1.72247 -0.0820312   -0.467077 -0.0311043 0.463356  0.63721 0.378667 -0.671249 0.338693 -0.919947 -0.197447 -0.69228 -0.101532 -0.714451   -0.613874 -0.0526342 0.311857  0.63721 0.378667 -0.671249 0.338693 -0.919947 -0.197447 -0.69228 -0.101532 -0.714451   2042.19 2042.19 2042.19 122.531 122.531 122.531  0 0 0 0 0 0   2.5795 -0.223345 0.703858 1.88765 -0.296281 -0.316738 -0.116208 
 0.0926937 0.036212 0.211415  6.27893 5.588 -6.27013 10.8228   0.372739 0.00138774 0.0145235  0.455806 -0.0909799 0.580175 0.66885   0.321655 -0.487122 -0.328979  1.45844 1.4978 0   -0.467077 -0.0311042 0.463355  0.63721 0.378667 -0.671248 0.338693 -0.919947 -0.197446 -0.692279 -0.101533 -0.714451   -0.613874 -0.0526342 0.311856  0.63721 0.378667 -0.671248 0.338693 -0.919947 -0.197446 -0.692279 -0.101533 -0.714451   2042.19 2042.19 2042.19 122.531 122.531 122.531  0 0 0 0 0 0   2.5795 -0.223345 0.703858 1.88765 -0.296281 -0.316738 -0.116208 
 0.102688 0.036212 0.211415  6.27893 5.588 -6.27013 10.8228   0.372739 0.00138774 0.0145235  0.455806 -0.0909799 0.580175 0.66885   0.245972 -0.317688 0.234985  1.2854 1.59766 -0.0820312   -0.467077 -0.031106 0.463355  0.637209 0.378669 -0.671248 0.338696 -0.919946 -0.197445 -0.692279 -0.101535 -0.714451   -0.613874 -0.0526366 0.311856  0.637209 0.378669 -0.671248 0.338696 -0.919946 -0.197445 -0.692279 -0.101535 -0.714451   2042.19 2042.19 2042.19 122.531 122.531 122.531  0 0 0 0 0 0   2.5795 -0.223345 0.703858 1.88765 -0.296281 -0.316738 -0.116208 
