 TimeStamp manip.manip_measure_out_port manip.force_transmission_out_port manip.q_hand_out_port.0 manip.q_hand_out_port.1 manip.q_hand_out_port.2 manip.q_hand_out_port.3 tt.outport_grip.position.x tt.outport_grip.position.y tt.outport_grip.position.z tt.outport_grip.orientation.x tt.outport_grip.orientation.y tt.outport_grip.orientation.z tt.outport_grip.orientation.w jr3.ForceTorqueOutputPort.forces.0 jr3.ForceTorqueOutputPort.forces.1 jr3.ForceTorqueOutputPort.forces.2 jr3.ForceTorqueOutputPort.torques.0 jr3.ForceTorqueOutputPort.torques.1 jr3.ForceTorqueOutputPort.torques.2 test.cart_pose_loop_out_port.p.X test.cart_pose_loop_out_port.p.Y test.cart_pose_loop_out_port.p.Z test.cart_pose_loop_out_port.M.X_x test.cart_pose_loop_out_port.M.X_y test.cart_pose_loop_out_port.M.X_z test.cart_pose_loop_out_port.M.Y_x test.cart_pose_loop_out_port.M.Y_y test.cart_pose_loop_out_port.M.Y_z test.cart_pose_loop_out_port.M.Z_x test.cart_pose_loop_out_port.M.Z_y test.cart_pose_loop_out_port.M.Z_z test.tcp_pose_out_port.p.X test.tcp_pose_out_port.p.Y test.tcp_pose_out_port.p.Z test.tcp_pose_out_port.M.X_x test.tcp_pose_out_port.M.X_y test.tcp_pose_out_port.M.X_z test.tcp_pose_out_port.M.Y_x test.tcp_pose_out_port.M.Y_y test.tcp_pose_out_port.M.Y_z test.tcp_pose_out_port.M.Z_x test.tcp_pose_out_port.M.Z_y test.tcp_pose_out_port.M.Z_z stiff.cart_stiffdamp_out_port.stiffness.0 stiff.cart_stiffdamp_out_port.stiffness.1 stiff.cart_stiffdamp_out_port.stiffness.2 stiff.cart_stiffdamp_out_port.stiffness.3 stiff.cart_stiffdamp_out_port.stiffness.4 stiff.cart_stiffdamp_out_port.stiffness.5 stiff.cart_stiffdamp_out_port.damping.0 stiff.cart_stiffdamp_out_port.damping.1 stiff.cart_stiffdamp_out_port.damping.2 stiff.cart_stiffdamp_out_port.damping.3 stiff.cart_stiffdamp_out_port.damping.4 stiff.cart_stiffdamp_out_port.damping.5 lwr.current_joint_values.angles.0 lwr.current_joint_values.angles.1 lwr.current_joint_values.angles.2 lwr.current_joint_values.angles.3 lwr.current_joint_values.angles.4 lwr.current_joint_values.angles.5 lwr.current_joint_values.angles.6
 1.02e-06 0.00144434 0.382419  28.9497 10.1678 -23.4566 18.8895   0.391165 -0.435794 -0.0534995  -0.115591 0.0490088 -0.229194 0.96525   -2.13806 0.953064 -1.50391  -0.148315 2.2467 -0.102539   -0.494409 -0.0361644 0.486704  0.613167 0.626027 -0.481784 0.551272 -0.775933 -0.306638 -0.565796 -0.0775741 -0.820888   -0.614386 -0.052614 0.312634  0.613167 0.626027 -0.481784 0.551272 -0.775933 -0.306638 -0.565796 -0.0775741 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.0226386 0.00140953 0.382585  28.9484 10.1674 -23.4552 18.8886   0.391298 -0.435903 -0.053946  -0.940713 -0.175951 0.289864 -0.0088753   -2.21375 1.03778 -1.12793  -0.148315 2.2467 -0.102539   -0.494409 -0.0361643 0.486704  0.613166 0.626029 -0.481783 0.551273 -0.775932 -0.306639 -0.565796 -0.077573 -0.820888   -0.614386 -0.0526137 0.312634  0.613166 0.626029 -0.481783 0.551273 -0.775932 -0.306639 -0.565796 -0.077573 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.0326496 0.00140953 0.382585  28.9484 10.1674 -23.4552 18.8886   0.391298 -0.435903 -0.053946  -0.940713 -0.175951 0.289864 -0.0088753   -2.21375 1.03778 -1.50391  -0.148315 2.047 -0.0205078   -0.494409 -0.0361643 0.486704  0.613166 0.626029 -0.481783 0.551273 -0.775932 -0.306639 -0.565796 -0.077573 -0.820888   -0.614386 -0.0526137 0.312634  0.613166 0.626029 -0.481783 0.551273 -0.775932 -0.306639 -0.565796 -0.077573 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.0426456 0.00140953 0.382585  28.9484 10.1674 -23.4552 18.8886   0.391298 -0.435903 -0.053946  -0.940713 -0.175951 0.289864 -0.0088753   -2.21375 0.953064 -1.12793  -0.0494385 2.2467 -0.102539   -0.494409 -0.0361643 0.486704  0.613166 0.626029 -0.481783 0.551273 -0.775932 -0.306639 -0.565796 -0.077573 -0.820888   -0.614386 -0.0526137 0.312634  0.613166 0.626029 -0.481783 0.551273 -0.775932 -0.306639 -0.565796 -0.077573 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.0526428 0.00140953 0.382585  28.9484 10.1674 -23.4552 18.8886   0.391298 -0.435903 -0.053946  -0.940713 -0.175951 0.289864 -0.0088753   -2.21375 0.974243 -1.31592  -0.0741577 2.14685 -0.102539   -0.494409 -0.0361643 0.486704  0.613166 0.626029 -0.481783 0.551273 -0.775932 -0.306639 -0.565796 -0.077573 -0.820888   -0.614386 -0.0526137 0.312634  0.613166 0.626029 -0.481783 0.551273 -0.775932 -0.306639 -0.565796 -0.077573 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.0626547 0.00140953 0.382585  28.9484 10.1674 -23.4552 18.8886   0.391298 -0.435903 -0.053946  -0.940713 -0.175951 0.289864 -0.0088753   -2.21375 1.05896 -1.17493  0.148315 2.22174 -0.102539   -0.494409 -0.0361643 0.486704  0.613166 0.626029 -0.481783 0.551273 -0.775932 -0.306639 -0.565796 -0.077573 -0.820888   -0.614386 -0.0526137 0.312634  0.613166 0.626029 -0.481783 0.551273 -0.775932 -0.306639 -0.565796 -0.077573 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.0726682 0.00140953 0.382585  28.9484 10.1674 -23.4552 18.8886   0.391298 -0.435903 -0.053946  -0.940713 -0.175951 0.289864 -0.0088753   -2.21375 1.05896 -1.36292  0.123596 2.22174 -0.102539   -0.494409 -0.0361648 0.486704  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   -0.614386 -0.0526143 0.312634  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.0826492 0.00140953 0.382585  28.9484 10.1674 -23.4552 18.8886   0.391298 -0.435903 -0.053946  -0.940713 -0.175951 0.289864 -0.0088753   -2.23267 1.05896 -1.5509  0.247192 2.19678 -0.102539   -0.494409 -0.0361648 0.486704  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   -0.614386 -0.0526143 0.312634  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.0926561 0.00140953 0.382585  28.9484 10.1674 -23.4552 18.8886   0.391298 -0.435903 -0.053946  -0.940713 -0.175951 0.289864 -0.0088753   -2.23267 0.974243 -1.17493  0.346069 2.29663 -0.102539   -0.494409 -0.0361648 0.486704  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   -0.614386 -0.0526143 0.312634  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.102641 0.00140953 0.382585  28.9484 10.1674 -23.4552 18.8886   0.391298 -0.435903 -0.053946  -0.940713 -0.175951 0.289864 -0.0088753   -2.28943 0.974243 -1.12793  0.0247192 2.02203 -0.102539   -0.494409 -0.0361648 0.486704  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   -0.614386 -0.0526143 0.312634  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
